단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
466400,1Q 25-08 회사채(A+이상)액티브,106290,-5,0,106282.92,106295,106305,106290,921,97903205,113836590000,1071000
491610,1Q CD금리액티브(합성),100225,0,0,100212.14,100225,100230,100225,758,75973070,69957050000,698000
451060,1Q K200액티브,11210,70,0.63,11227.1,11205,11215,11120,9296,103977160,131157000000,11700000
463290,1Q 단기금융채액티브,105205,10,0.01,105201.85,105210,105210,105195,10268,1080228700,183477520000,1744000
479080,1Q 머니마켓액티브,51135,5,0.01,51131.8,51130,51135,51130,15164,775394990,389750970000,7622000
472350,1Q 차이나H(H),13315,-460,-3.34,13762.35,13675,13785,13315,272,3659840,17309500000,1300000
492500,1Q 현대차그룹채권(A+이상)&국고통안,49935,-5,-0.01,49939.89,49940,49950,49935,30,1498175,59922000000,1200000
473440,ACE 11월만기자동연장회사채AA-이상액티브,10390,0,0,10387.72,10390,10390,10385,10807,112277305,121874700000,11730000
105190,ACE 200,35635,110,0.31,35718.57,35745,35745,35440,33763,1203135475,489981250000,13750000
332500,ACE 200TR,23020,100,0.44,23042.94,23130,23130,22870,522,11999985,36832000000,1600000
448880,ACE 24-12 회사채(AA-이상)액티브,105890,20,0.02,105885.04,105885,105890,105885,800,84709710,203732360000,1924000
461260,ACE 25-06 회사채(AA-이상)액티브,10665,0,0,10663.36,10660,10665,10660,9666,103053750,124460550000,11670000
461270,ACE 26-06 회사채(AA-이상)액티브,10780,5,0.05,10791.16,10780,10790,10775,69146,745419165,154046200000,14290000
475260,ACE 2월만기자동연장회사채AA-이상액티브,10310,0,0,10308.67,10310,10310,10305,189,1948340,120730100000,11710000
385600,ACE 2차전지&친환경차액티브,9525,-335,-3.4,9505.54,9895,9935,9440,39650,379000770,16192500000,1700000
475270,ACE 5월만기자동연장회사채AA-이상액티브,10305,5,0.05,10304.18,10305,10305,10300,5142,52987860,94496850000,9170000
475280,ACE 8월만기자동연장회사채AA-이상액티브,10295,10,0.1,10292.07,10295,10295,10295,43,442685,88845850000,8630000
469150,ACE AI반도체포커스,14590,75,0.52,14651.22,14780,14810,14575,44630,654765640,62007500000,4250000
487340,ACE CD금리&초단기채권액티브,101115,15,0.01,101103.65,101095,101115,101095,27086,2738602090,183827070000,1818000
385590,ACE ESG액티브,7985,-10,-0.13,8010.58,7965,7985,7965,6,47890,22358000000,2800000
380340,ACE Fn5G플러스,9125,105,1.16,9101.87,9155,9190,9085,60,548455,6387500000,700000
226380,ACE Fn성장소비주도주,5530,-10,-0.18,5560.31,5560,5560,5525,293,1619440,6083000000,1100000
