단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
491610,1Q CD금리액티브(합성),102830,5,0,102858.64,102830,102830,102825,2691,276706315,189310030000,1841000
451060,1Q K200액티브,18340,-410,-2.19,18325.95,18760,18775,18305,45743,844329177,143052000000,7800000
0103T0,1Q K소버린AI,9715,-275,-2.75,9693.15,9980,9995,9680,195551,1903709740,32059500000,3300000
463290,1Q 단기금융채액티브,108875,10,0.01,108878.84,108865,108880,108865,2822,307252268,207624625000,1907000
0131W0,1Q 단기특수은행채액티브,100175,10,0.01,100181.11,100175,100175,100175,14,1402450,40070000000,400000
479080,1Q 머니마켓액티브,52555,10,0.02,52550.26,52550,52555,52550,83504,4388202694,1028186020000,19564000
0026S0,1Q 미국S&P500,12165,-75,-0.61,12216.99,12160,12175,12110,232597,2826255775,175176000000,14400000
0052S0,1Q 미국S&P500미국채혼합50액티브,11595,-25,-0.22,11613.37,11570,11605,11550,273640,3166956990,168127500000,14500000
0069M0,1Q 미국나스닥100,12200,-150,-1.21,12285.93,12230,12230,12145,288757,3515972410,64660000000,5300000
0111P0,1Q 미국나스닥100미국채혼합50액티브,10530,-60,-0.57,10580.77,10520,10535,10490,288624,3034746505,127413000000,12100000
0083S0,1Q 미국메디컬AI,11845,-120,-1,11955.13,11915,11915,11805,101185,1201086993,50933500000,4300000
0004G0,1Q 미국배당TOP30,9285,5,0.05,9318.94,9290,9295,9255,6595,61164894,7428000000,800000
0131V0,1Q 미국우주항공테크,11625,-975,-7.74,11727.34,11830,11830,11535,1082617,12593066025,19762500000,1700000
0094X0,1Q 샤오미밸류체인액티브,9745,-260,-2.6,9797.94,10005,10005,9710,103042,1015300141,20951750000,2150000
0017Y0,1Q 종합채권(AA-이상)액티브,98445,135,0.14,98490.91,98305,98525,98280,730,71814340,57098100000,580000
0052T0,1Q 중단기회사채(A-이상)액티브,49930,60,0.12,49917.83,49900,49930,49900,41,2046515,111543620000,2234000
472350,1Q 차이나H(H),15910,-515,-3.14,16013.77,16310,16310,15875,89,1438891,9546000000,600000
495330,1Q 코리아밸류업,16125,-380,-2.3,16124.23,16455,16455,16125,11228,182408508,54825000000,3400000
492500,1Q 현대차그룹채권(A+이상)&국고통안,51665,35,0.07,51670.38,51645,51675,51645,590,30481220,116452910000,2254000
473440,ACE 11월만기자동연장회사채AA-이상액티브,10610,0,0,10614,10610,10615,10610,7254,76967828,94853400000,8940000
105190,ACE 200,56675,-1280,-2.21,56662.65,57895,58075,56665,269984,15446813234,646095000000,11400000
332500,ACE 200TR,37705,-855,-2.22,37689.75,38560,38560,37680,12944,491672169,79180500000,2100000
461270,ACE 26-06 회사채(AA-이상)액티브,11050,0,0,11054.21,11050,11055,11050,6621,73177613,185861000000,16820000
475260,ACE 2월만기자동연장회사채AA-이상액티브,10540,0,0,10537.34,10540,10540,10535,2564,27011830,49643400000,4710000
