단축코드,한글종목약명,기초지수명,기초시장분류,기초자산분류,총보수,TER,실부담비용률,과세유형,표준코드,펀드코드
495710,BNK 26-06 특수채(AAA이상)액티브,KAP 26-06 특수채 총수익 지수(AAA이상),국내,채권,0.1000,0.1100,0.1122,배당소득세(보유기간과세),KR7495710006,K55240EF2948
466810,BNK 2차전지양극재,iSelect 2차전지양극재 지수,국내,주식,0.3950,0.5600,0.5768,비과세,KR7466810009,K55240E62094
457930,BNK 미래전략기술액티브,iSelect 미래전략기술 지수 (PR),국내,주식,0.4950,0.6100,0.6382,배당소득세(보유기간과세),KR7457930006,K55240E32568
487750,BNK 온디바이스AI,FnGuide 온디바이스AI 지수,국내,주식,0.3950,0.5000,0.5123,비과세,KR7487750002,K55240EC9136
445690,BNK 주주가치액티브,FnGuide 주주가치 지수,국내,주식,0.4950,0.5600,0.6220,배당소득세(보유기간과세),KR7445690001,K55240DY2458
465780,마이티 26-09 특수채(AAA)액티브,KAP 26-09 특수채 지수(총수익),국내,채권,0.0600,0.0800,0.0902,배당소득세(보유기간과세),KR7465780005,K55216E57284
442260,마이티 다이나믹퀀트액티브,코스피 200,국내,주식,0.3000,0.3200,0.3709,배당소득세(보유기간과세),KR7442260006,K55216DW2765
0001P0,마이티 바이오시밀러&CDMO액티브,FnGuide 바이오시밀러&CDMO 지수,국내,주식,0.8100,0.8400,0.8543,배당소득세(보유기간과세),KR70001P0004,K55216EG6021
159800,마이티 코스피100,코스피 100,국내,주식,0.3900,0.4100,0.4239,비과세,KR7159800002,KR5216AB3979
472840,ITF 200,코스피 200,국내,주식,0.0800,0.1100,0.1130,비과세,KR7472840008,K55234E63129
0005G0,ITF K-AI반도체코어테크,FnGuide K-AI반도체 코어테크 지수,국내,주식,0.2800,0.3100,0.3106,비과세,KR70005G0001,K55234EG3166
361580,RISE 200TR,코스피 200 TR,국내,주식,0.0120,0.0500,0.0658,배당소득세(보유기간과세),KR7361580004,K55223D93485
290080,RISE 200고배당커버드콜ATM,코스피 200 고배당커버드콜 ATM 지수(시장가격지수),국내,주식,0.4000,0.4500,0.5135,배당소득세(보유기간과세),KR7290080001,K55223C37096
284980,RISE 200금융,코스피 200 금융,국내,주식,0.1900,0.2500,0.2570,비과세,KR7284980000,K55223C02611
252400,RISE 200선물레버리지,코스피 200 선물지수,국내,주식,0.6000,0.6300,0.8469,배당소득세(보유기간과세),KR7252400007,K55223BG9631
252420,RISE 200선물인버스2X,코스피 200 선물지수,국내,주식,0.6000,0.6400,0.9543,배당소득세(보유기간과세),KR7252420005,K55223BH1595
252410,RISE 200선물인버스,코스피 200 선물지수,국내,주식,0.6000,0.6500,0.8188,배당소득세(보유기간과세),KR7252410006,K55223BG9649
475720,RISE 200위클리커버드콜,코스피 200 위클리 커버드콜 ATM 지수,국내,주식,0.3000,0.3400,0.4312,배당소득세(보유기간과세),KR7475720009,K55223E88442
148020,RISE 200,코스피 200,국내,주식,0.0170,0.0400,0.0541,비과세,KR7148020001,KR5223A66905
483230,RISE 25-06 은행채(AA+이상)액티브,KIS 2025년 6월 만기도래 은행채 지수(AA+이상)(총수익),국내,채권,0.0500,0.0600,0.0612,배당소득세(보유기간과세),KR7483230009,K55223EB3891
448600,RISE 25-11 회사채(AA-이상)액티브,KIS 2025년 만기도래 크레딧 종합채권 지수(AA-이상)(시장가격),국내,채권,0.0700,0.0900,0.0924,배당소득세(보유기간과세),KR7448600007,K55223DY8605
465330,RISE 2차전지TOP10,iSelect 2차전지 TOP10 지수(PR),국내,주식,0.0700,0.1500,0.1826,비과세,KR7465330009,K55223E57140
465350,RISE 2차전지TOP10인버스(합성),iSelect 2차전지 TOP10 지수(PR),국내,주식,0.4900,0.5700,0.5762,배당소득세(보유기간과세),KR7465350007,K55223E57157
422420,RISE 2차전지액티브,iSelect 2차전지 지수 (시장가격지수),국내,주식,0.3500,0.4200,0.4630,배당소득세(보유기간과세),KR7422420000,K55223DS8611
105780,RISE 5대그룹주,MKF 5대그룹주,국내,주식,0.4000,0.4600,0.4690,비과세,KR7105780001,KR5223884903
