지수명,종가,대비,등락률
코스피 200,250.45,1.61,0.65
코스피 100 동일가중지수,1883.82,-13.83,-0.73
코스피 50,1615.26,18.18,1.14
KRX 100 동일가중지수,1831.22,-12.73,-0.69
MKF 범LG그룹주 지수,,,
MKF 네오밸류 지수,,,
KAP Money Market Index(총수익),108.93,0.03,0.03
KAP Barbell Index(총수익),112.5,0.12,0.11
FnGuide 경기방어주 지수,,,
FnGuide 배당주 지수,11124.18,-44.4,-0.4
FnGuide 자동차+ 지수,,,
FnGuide 조선운송+ 지수,,,
FnGuide 경기주도주 지수,,,
FnGuide 철강금속+ 지수,,,
MSCI AC World Daily TR Net USD,187.85,0.78,0.42
MSCI EAFE Index,1816.55,17.94,1
MSCI EM Index,1015.04,7.5,0.74
Hang Seng China H,10755.8,126.92,1.19
FnGuide 화학+ 지수,,,
MKF 스타우량,,,
MKF 현대차그룹,,,
녹색산업지수,,,
사회책임투자지수,,,
KTB INDEX(시장가격),10527.82,15.91,0.15
KIS MSB 단기지수(총수익),10504.48,2.21,0.02
FnGuide-RAFI 코리아 대형 지수,5897.65,21.05,0.36
MKF SAMs EW 지수,10892.35,148.6,1.38
MKF SAMs SW,8230.28,231.11,2.89
MKF F15 VW,,,
코스피 200 선물지수,1207.9,5.8,0.48
TOPIX,1333.64,54.74,4.28
CSI 300 Index,2508.33,39.4,1.6
스타지수,,,
Dow Jones U.S. Real Estate Index,958.09,7.94,0.84
Markit iBoxx USD Liquid High Yield Index,,,
10년국채선물지수,1220.97,3.54,0.29
DJ Brazil 20,23663.2,1168.3,5.19
FTSE China A50 Index,7420.61,175.32,2.42
TOPIX100,880.59,39.11,4.65
MSCI Korea Index,553.03,5,0.91
KRX 건설,668.4,-1.52,-0.23
S&P GSCI Gold Index(TR),635.68,-14.65,-2.25
S&P GSCI North American Copper Index(TR),438.29,-2.23,-0.51
MKF 국고채지수(총수익),163.02,0.27,0.17
KRW Cash 지수(총수익),139.05,0.03,0.02
KRX 반도체,1767.98,36.11,2.09
