단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
037730,3R,990,0,0,1030,1070,980,6741340,6877731150,29305029600,29601040
060310,3S,2780,160,6.11,2670,2930,2650,177934,505743030,6672000000,2400000
036360,3SOFT,1390,90,6.92,1300,1430,1280,520101,703039230,8108339820,5833338
036820,BET,1220,10,0.83,1240,1260,1210,343388,422519010,19836813260,16259683
023460,C&H캐피탈,1440,10,0.7,1470,1470,1410,46234,66004050,42322628160,29390714
045260,CHK한강,1500,20,1.35,1490,1530,1430,627286,919560050,31274365500,20849577
049370,CJ엔터테인,14100,0,0,14350,14450,13650,310922,4337454700,202165236000,14337960
051500,CJ푸드시스템,12700,350,2.83,12350,13000,12350,66816,843412200,119112030000,9378900
035760,CJ홈쇼핑,54100,800,1.5,54300,55100,53700,248419,13514932900,445993421100,8243871
050470,CMS,900,50,5.88,870,940,870,309784,282639380,7470000000,8300000
065340,DM테크놀로지,8440,900,11.94,7610,8440,7550,413962,3367607080,47264000000,5600000
037370,EG,7050,0,0,7120,7270,7030,168640,1201097200,31725000000,4500000
053870,GT&T,1360,-40,-2.86,1450,1460,1350,89652,124505000,5848000000,4300000
038710,ICM,2100,20,0.96,2090,2140,2070,33159,69460790,10500000000,5000000
036670,KCI,2500,-150,-5.66,2700,2830,2500,173077,465182900,15750000000,6300000
054020,KDN스마텍,2550,80,3.24,2480,2640,2480,1757014,4511888410,33558000000,13160000
046810,KEPS,1570,50,3.29,1580,1600,1510,160646,250524680,9815891200,6252160
060720,KH바텍,60900,-1600,-2.56,63300,64300,60500,65297,4087143500,243600000000,4000000
038370,KTB벤처1MF,5040,20,0.4,5050,5050,5020,4700,23677000,46276272000,9181800
039370,KTB벤처2MF,4660,10,0.22,4660,4660,4640,726,3381160,19130232000,4105200
032390,KTF,34400,900,2.69,34000,35300,33700,1694949,58524318350,6331596679200,184058043
060370,KT서브마린,12550,-200,-1.57,13000,13000,12500,61125,777029050,54969000000,4380000
016990,LG마이크론,33100,900,2.8,33200,33950,32700,107407,3583071850,191980000000,5800000
032640,LG텔레콤,5050,-20,-0.39,5150,5250,4990,2410705,12312814680,1400256071500,277278430
028150,LG홈쇼핑,87000,500,0.58,87700,88800,87000,110425,9700685000,570937500000,6562500
047420,LKFS,1410,10,0.71,1450,1450,1370,285484,400486320,10152000000,7200000
026260,M플러스텍,160,10,6.67,160,160,150,1961910,313887860,6998672640,43741704
035420,NHN,39400,1700,4.51,38500,40450,37700,780540,30407297100,293019770000,7437050
034120,SBS,39500,1750,4.64,38500,39650,38200,130089,5050937700,1029967121500,26075117
036540,STS반도체,4720,-80,-1.67,4850,4980,4720,100756,486582080,47603088000,10085400
016600,TG벤처,2300,100,4.55,2230,2350,2230,188986,435267630,27600000000,12000000
048770,TPC,1850,190,11.45,1680,1850,1660,103747,187440020,7955000000,4300000
032620,UBCARE,610,0,0,630,630,590,1273876,770859960,12507588230,20504243
048760,VK,4100,-510,-11.06,4620,4990,4070,2989295,13440251530,67984367300,16581553
033190,VON,950,-10,-1.04,970,1020,940,534958,518646150,10667477800,11228924
016170,YBM서울,1620,0,0,1650,1650,1570,1597,2558690,17593200000,10860000
040300,YTN,1590,10,0.63,1580,1610,1580,135935,216148910,66780000000,42000000
048540,hycom,730,0,0,730,780,730,110256,82869600,5347250000,7325000
008780,i 인프라,440,20,4.76,440,450,420,1567843,683484200,8624000000,19600000
054150,가드텍,790,20,2.6,770,830,770,197182,156699830,8058000000,10200000
