단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,1700,-4,-0.23,1739,1739,1672,159226,269641137,90200368000,53059040
054620,APS,4085,190,4.88,3950,4085,3880,21096,83239655,81267892785,19894221
265520,AP시스템,19140,160,0.84,19400,19650,18710,114297,2197208085,288072713940,15050821
211270,AP위성,11560,-180,-1.53,11820,11920,11540,32882,383295170,174351434240,15082304
139050,BF랩스,2805,0,0,0,0,0,0,0,24247965555,8644551
126600,BGF에코머티리얼즈,2795,25,0.9,2765,2815,2730,51348,142317950,175433482705,62766899
083790,CG인바이츠,1506,55,3.79,1456,1525,1450,172231,256758219,115802638092,76894182
035760,CJ ENM,64800,-1400,-2.11,66300,67000,63600,76619,4983165050,1421009179200,21929154
311690,CJ 바이오사이언스,9360,210,2.3,9150,9500,9100,14301,132651500,122292724320,13065462
051500,CJ프레시웨이,26000,800,3.17,25250,26350,25050,33019,851777100,308661236000,11871586
058820,CMG제약,1736,-39,-2.2,1776,1807,1732,857597,1501363983,256654029688,147842183
056730,CNT85,640,-3,-0.47,630,650,628,35037,22278449,47431159040,74111186
065770,CS,898,-5,-0.55,903,940,889,127472,114658769,17431194740,19411130
083660,CSA 코스믹,747,-13,-1.71,774,774,734,827662,620382232,45751644207,61247181
477760,DB금융스팩12호,2085,-5,-0.24,2087,2090,2075,1205,2507212,12176400000,5840000
099520,DGI,1284,0,0,0,0,0,0,0,58141862016,45281824
060900,DGP,1460,-10,-0.68,1471,1481,1421,173822,250793069,43669671640,29910734
290120,DH오토리드,2255,-20,-0.88,2270,2285,2245,17196,38983940,35683681495,15824249
025440,DH오토웨어,766,-33,-4.13,799,815,766,288347,223844007,37366417584,48781224
068790,DMS,6330,0,0,0,0,0,0,0,149939488590,23687123
241520,DSC인베스트먼트,7350,90,1.24,7320,7900,7290,1112824,8384617290,198450000000,27000000
180400,DXVX,2010,-15,-0.74,2005,2085,1920,173251,348342052,98931058320,49219432
418620,E8,2615,-155,-5.6,2800,2835,2565,337913,908835866,33603997355,12850477
245620,EDGC,415,0,0,0,0,0,0,0,57474989665,138493951
037370,EG,5840,10,0.17,5840,5990,5750,33416,194396890,50369836480,8624972
050120,ES큐브,2905,-10,-0.34,2900,2990,2810,14594,42399475,39403669830,13564086
214270,FSN,1925,24,1.26,1910,1941,1850,110560,210417647,84105096075,43690959
130500,GH신소재,2480,65,2.69,2415,2495,2415,30766,75381184,36071728960,14545052
900290,GRT,2820,35,1.26,2785,2835,2770,101386,284037050,227997000000,80850000
083450,GST,27950,1350,5.08,27550,28650,26700,462002,12793705700,515118500000,18430000
297890,HB솔루션,2505,65,2.66,2475,2610,2460,525676,1330002626,183217989570,73140914
440290,HB인베스트먼트,2040,-15,-0.73,2070,2085,2020,86958,177543642,55298300400,27107010
078150,HB테크놀러지,2185,155,7.64,2070,2375,2070,13689591,30398523701,202584276460,92715916
225530,HC보광산업,2810,70,2.55,2740,2810,2685,24472,67365448,102111822870,36338727
060560,HC홈센타,680,2,0.29,678,681,670,75364,50741906,86815277000,127669525
195940,HK이노엔,52000,2800,5.69,49700,53000,49650,656527,34114681900,1473154332000,28329891
028300,HLB,50500,-3900,-7.17,55000,55000,50400,1265134,65926491150,6638429929000,131454058
278650,HLB바이오스텝,1599,-49,-2.97,1694,1744,1556,5120183,8419662592,139121856861,87005539
067630,HLB생명과학,4235,-390,-8.43,4650,4650,4235,1623621,7162962595,516318740630,121917058
024850,HLB이노베이션,1810,-25,-1.36,1837,1869,1800,405686,739671139,261610362720,144536112
187420,HLB제넥스,3050,-90,-2.87,3175,3175,3020,93727,286132272,88864440100,29135882
047920,HLB제약,17200,-910,-5.02,18200,18260,17130,381585,6688653635,564148923200,32799356
115450,HLB테라퓨틱스,3500,-105,-2.91,3685,3700,3480,601480,2145994227,295337920500,84382263
046210,HLB파나진,1709,-14,-0.81,1723,1757,1675,176079,299493819,77121561062,45126718
196300,HLB펩,6490,-160,-2.41,6650,6710,6490,29033,190569690,60314153020,9293398
403870,HPSP,33300,700,2.15,33450,33700,32400,538499,17839371925,2780502314400,83498568
036640,HRS,5120,60,1.19,5090,5120,5000,35986,181826760,83736576000,16354800
442770,IBKS제21호스팩,1862,0,0,0,0,0,0,0,7839020000,4210000
448760,IBKS제22호스팩,3715,-235,-5.95,4000,4030,3715,570580,2164186390,16457450000,4430000
467930,IBKS제23호스팩,2215,-5,-0.23,2225,2230,2215,11079,24596350,9369450000,4230000
469480,IBKS제24호스팩,2195,-5,-0.23,2225,2225,2185,4233,9280000,9284850000,4230000
095340,ISC,80000,6000,8.11,76600,81200,76500,477651,38079191300,1695764640000,21197058
950170,JTC,5210,-180,-3.34,5430,5440,5160,88579,466075620,269598473080,51746348
067290,JW신약,1416,26,1.87,1391,1425,1380,113756,159955451,75580594416,53376126
035900,JYP Ent.,74200,-4000,-5.12,79000,79300,74200,637772,48328013000,2636510906400,35532492
318000,KBG,5020,-50,-0.99,5180,5180,4910,36895,186829735,43875919460,8740223
024840,KBI메탈,1773,-22,-1.23,1800,1835,1760,420741,753172596,61894009827,34909199
024120,KB오토시스,3400,0,0,3400,3600,3365,46096,157939912,39100000000,11500000
455250,KB제25호스팩,2095,0,0,2095,2100,2087,74175,155206469,9018975000,4305000
464680,KB제27호스팩,2065,5,0.24,2060,2065,2055,62012,127758041,26648825000,12905000
478390,KB제29호스팩,2070,0,0,2070,2085,2065,5191,10745813,12875400000,6220000
486630,KB제30호스팩,2035,0,0,2035,2035,2032,1278,2600724,10805850000,5310000
492220,KB제31호스팩,2005,0,0,2000,2005,2000,18326,36652045,12451050000,6210000
0037T0,KB제32호스팩,1995,0,0,1995,1999,1993,8514,16985346,12628350000,6330000
0072Z0,KB제33호스팩,1984,3,0.15,1981,1985,1979,81867,162342313,15643840000,7885000
021320,KCC건설,4700,-110,-2.29,4810,4930,4645,17834,84161340,100580000000,21400000
044180,KD,645,-31,-4.59,681,708,637,1924370,1277025442,17232980355,26717799
046440,KG모빌리언스,4875,30,0.62,4850,4910,4700,59779,289029350,185302659750,38010802
151860,KG에코솔루션,5380,150,2.87,5250,5440,5200,99288,528638050,256104150760,47603002
035600,KG이니시스,10410,-20,-0.19,10390,10530,10230,174120,1813136895,286841657940,27554434
226360,KH 건설,2555,0,0,0,0,0,0,0,67617390260,26464732
111870,KH 미래물산,8910,0,0,0,0,0,0,0,62746456410,7042251
060720,KH바텍,12820,90,0.71,12980,13210,12510,222214,2854206875,303544806440,23677442
058400,KNN,689,15,2.23,675,742,673,1425497,1006320537,91244077080,132429720
101000,KS인더스트리,1017,114,12.62,906,1026,906,3806615,3731672056,34015397634,33446802
089600,KT나스미디어,12830,-50,-0.39,12880,12950,12600,19381,247087975,148419531290,11568163
418470,KT밀리의서재,13100,120,0.92,13180,13180,12730,13141,170381250,112211835900,8565789
043610,KT지니뮤직,1807,22,1.23,1797,1812,1760,66253,118372005,105014596466,58115438
122450,KX,3745,45,1.22,3705,3765,3665,47221,175061195,167850278330,44819834
052900,KX하이텍,958,26,2.79,932,965,930,229037,218799950,62628728848,65374456
036560,KZ정밀,14440,-110,-0.76,14790,14790,14350,11848,171598670,227430000000,15750000
061970,LB세미콘,5050,195,4.02,4875,5110,4875,370089,1861959754,293319180300,58083006
309960,LB인베스트먼트,5290,120,2.32,5210,5640,5210,602913,3274623885,122819194310,23217239
225190,LK삼양,1506,-185,-10.94,1692,1706,1481,1745067,2713768071,76427150640,50748440
060370,LS마린솔루션,27100,-650,-2.34,28700,29200,26800,574717,15954722500,1415672943400,52238854
417200,LS머트리얼즈,13670,-1360,-9.05,15490,15580,13530,1795807,25649507105,924811848530,67652659
078020,LS증권,5370,150,2.87,5280,5440,5160,99200,526169625,297933990300,55481190
