단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
004560,BNG스틸,7900,220,2.86,7750,8010,7730,64985,512920500,119122606900,15078811
004565,BNG스틸우,9000,310,3.57,8780,9010,7930,480,4176800,988668000,109852
001460,BYC,125000,3000,2.46,127000,127000,123000,131,16222000,78076875000,624615
001465,BYC우,54600,-1300,-2.33,54500,56600,54500,11,602100,11760021000,215385
084680,C&우방랜드,1095,-25,-2.23,1125,1140,1080,471026,518253470,35999313075,32876085
001040,CJ,48250,400,0.84,48300,48850,47700,119153,5745578200,1371090624500,28416386
079160,CJ CGV,19550,-50,-0.26,19400,19700,19400,16921,330699650,403071303900,20617458
001049,CJ3우B,46800,-200,-0.43,47100,47100,46800,100,4691500,24952496400,533173
001045,CJ우,21150,50,0.24,21100,21500,21000,2870,60840000,47803716450,2260223
097950,CJ제일제당,203500,-1500,-0.73,206000,207500,200500,106965,21832790500,2450271054000,12040644
097959,CJ제일제당 3우B,202000,0,0,202000,202000,198000,308,61910500,63252866000,313133
097955,CJ제일제당 우,61200,200,0.33,62200,63000,61200,5182,322311000,81238899600,1327433
069730,DSR제강,4790,95,2.02,4830,4830,4720,62643,299872300,68976000000,14400000
017940,E1,68500,700,1.03,68000,68600,67500,3987,271926600,469910000000,6860000
007700,F&F,3440,20,0.58,3400,3445,3350,54131,183247740,52976000000,15400000
078930,GS,29900,-550,-1.81,30500,30550,29700,656573,19621106100,2778169802200,92915378
006360,GS건설,106500,500,0.47,107000,107500,104000,399781,42394945000,5431500000000,51000000
001250,GS글로벌,24250,850,3.63,23900,24350,23400,112775,2691098250,273221888500,11266882
078935,GS우,16400,-100,-0.61,16600,16600,16400,1860,30676000,29271146400,1784826
035000,GⅡR,10950,300,2.82,10750,10950,10600,25462,274507400,181413128550,16567409
001500,HMC투자증권,18700,-200,-1.06,19150,19400,18600,134943,2564140500,548603975700,29337111
011420,IB스포츠,1770,40,2.31,1740,1800,1700,6386,11185070,34731690480,19622424
003560,IHQ,1010,130,14.77,920,1010,910,1293260,1267106950,40738570180,40335218
005560,JS전선,17000,-50,-0.29,17150,17300,16900,23890,406943000,193436880000,11378640
105560,KB금융,58800,-900,-1.51,60400,60400,58100,2454344,144490328200,22717479548400,386351693
002380,KCC,346000,5000,1.47,344000,350000,340000,65238,22467289000,3639920000000,10520000
009070,KCTC,19900,0,0,20000,20500,19250,1800,35531000,59700000000,3000000
009440,KC코트렐,8790,-40,-0.45,9090,9120,8790,103130,925652900,149430000000,17000000
017300,KDS,235,0,0,245,245,235,469894,111667540,9531218595,40558377
092220,KEC,865,30,3.59,835,945,835,3433431,3098069625,86855497700,100410980
006200,KEC홀딩스,1380,45,3.37,1345,1430,1345,88771,124122265,37366167540,27076933
109070,KGP,1550,-25,-1.59,1625,1625,1545,30570,47465200,17015047500,10977450
001390,KG케미칼,10550,150,1.44,10500,10850,10500,142185,1518889250,112885000000,10700000
001940,KISCO홀딩스,81000,2100,2.66,78700,81000,78600,3485,278298100,299317356000,3695276
083420,KPX그린케미칼,20200,200,1,20200,20200,20000,770,15504000,40400000000,2000000
025000,KPX케미칼,47500,500,1.06,46350,47700,46350,980,46278500,218500000000,4600000
092230,KPX홀딩스,64700,700,1.09,64100,65000,64000,26,1681200,273334596200,4224646
025850,KPX화인케미칼,51000,1000,2,50100,51300,49200,21301,1068279550,163200000000,3200000
044450,KSS해운,4605,-45,-0.97,4580,4825,4580,33930,158580400,53385488700,11592940
030200,KT,38900,100,0.26,39050,39150,38500,987347,38220863100,10157249331200,261111808
033780,KT&G,69100,-800,-1.14,70000,70100,68600,613210,42283097650,9590561542700,138792497
030210,KTB투자증권,4360,20,0.46,4420,4495,4360,282219,1249127790,262969441120,60314092
003550,LG,68400,100,0.15,69000,69000,67200,406049,27656603600,11802907760400,172557131
015940,LG데이콤,18900,600,3.28,18350,18950,18300,509701,9582964050,1574127153900,83287151
