단축코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
095570,AJ네트웍스,4640,0,0,4690,4690,4595,130654,604840666,209972801760,45252759
006840,AK홀딩스,9000,10,0.11,9060,9060,8960,10355,93262000,119228049000,13247561
027410,BGF,3960,55,1.41,3950,3970,3905,43665,172463933,379038492360,95716791
282330,BGF리테일,109300,-1100,-1,111500,111500,108800,34431,3767945600,1889130925800,17283906
138930,BNK금융지주,15200,370,2.49,14940,15200,14870,711508,10722507455,4779262340800,314425154
001460,BYC,40200,900,2.29,39500,40200,39250,2387,94616500,251095230000,6246150
001465,BYC우,23800,50,0.21,23750,24000,23600,1721,40960200,51261630000,2153850
001040,CJ,179500,5000,2.87,177000,182900,174000,191488,34317257700,5237271141000,29176998
079160,CJ CGV,5610,70,1.26,5550,5650,5480,475652,2660589055,928912018650,165581465
00104K,CJ4우(전환),156400,2900,1.89,152500,156600,149100,10251,1579898900,661026476800,4226512
000120,CJ대한통운,92900,200,0.22,93500,94000,92200,49663,4610058550,2119266757600,22812344
011150,CJ씨푸드,2750,40,1.48,2720,2755,2680,461963,1262376222,98809625750,35930773
011155,CJ씨푸드1우,14780,-180,-1.2,14950,14950,14730,381,5624500,2956000000,200000
001045,CJ우,90100,1900,2.15,89400,90400,87200,2580,229506050,203646092300,2260223
097950,CJ제일제당,212000,2500,1.19,211000,213000,210000,54421,11535166250,3191487432000,15054186
097955,CJ제일제당 우,139100,2300,1.68,137600,139100,136800,5115,706233150,184645930300,1327433
000480,CR홀딩스,4945,25,0.51,4920,4950,4905,18426,90719837,231873473050,46890490
000590,CS홀딩스,78200,0,0,78200,78900,76500,652,50348100,90280492400,1154482
012030,DB,1430,56,4.08,1377,1431,1377,281447,395930156,287678724190,201173933
005830,DB손해보험,125000,5100,4.25,122600,125400,120500,149030,18477453100,8850000000000,70800000
016610,DB증권,10170,410,4.2,9820,10200,9790,110828,1115025200,431679776130,42446389
000990,DB하이텍,61900,0,0,62500,62600,60900,285807,17584851150,2692933997200,43504588
000300,DH오토넥스,1984,0,0,0,0,0,0,0,162944308992,82129188
001530,DI동일,17880,720,4.2,17060,18050,17060,76032,1345842900,352759526400,19729280
015590,DKME,515,0,0,0,0,0,0,0,122045495160,236981544
000210,DL,39800,1350,3.51,39600,40500,39200,93698,3741495975,834044183200,20955884
000215,DL우,25850,1150,4.66,25300,26450,25050,11332,291036300,43586072750,1686115
375500,DL이앤씨,40500,1350,3.45,39750,40950,39600,187146,7555205575,1567091731500,38693623
37550L,DL이앤씨2우(전환),29600,750,2.6,29650,29650,29350,1765,52098100,62513749600,2111951
37550K,DL이앤씨우,22200,500,2.3,21700,22400,21600,7009,155428125,46928247000,2113885
007340,DN오토모티브,23950,500,2.13,23450,23950,23100,98394,2321489300,1401335216750,58510865
004840,DRB동일,4830,-5,-0.1,4855,4880,4820,8111,39208999,96261900000,19930000
155660,DSR,3865,-10,-0.26,3905,3910,3845,18304,70886410,61840000000,16000000
069730,DSR제강,3500,50,1.45,3455,3530,3455,29120,101964440,50400000000,14400000
017860,DS단석,19560,860,4.6,18710,19570,18710,82726,1595198310,343947186720,17584212
092780,DYP,3400,35,1.04,3365,3430,3315,23645,79878740,44772764000,13168460
017940,E1,84000,1100,1.33,83300,84400,83000,7369,615117000,576240000000,6860000
365550,ESR켄달스퀘어리츠,4470,20,0.45,4460,4470,4435,844452,3743028895,1100017830000,246089000
383220,F&F,71800,200,0.28,72200,73000,70200,111356,7934916530,2750447985000,38307075
007700,F&F홀딩스,19980,270,1.37,19730,20000,19600,18286,362813000,781505052660,39114367
114090,GKL,14250,150,1.06,14170,14290,14030,293668,4151683900,881443297500,61855670
078930,GS,58000,500,0.87,58200,58200,56600,248719,14256027600,5389091924000,92915378
006360,GS건설,19290,750,4.05,18780,19330,18710,642080,12325070240,1650866942100,85581490
001250,GS글로벌,2385,30,1.27,2365,2400,2360,227438,542006032,196843027140,82533764
007070,GS리테일,21750,-150,-0.68,22000,22000,20850,212766,4615248825,1818461276250,83607415
078935,GS우,47800,150,0.31,47650,48000,47550,3472,165793325,85314682800,1784826
499790,GS피앤엘,47450,-2750,-5.48,49600,49800,46800,357015,17035042750,940973405450,19830841
012630,HDC,17400,90,0.52,17480,17500,17120,130419,2254331340,1039505945400,59741721
039570,HDC랩스,8350,-40,-0.48,8390,8430,8300,12691,105873500,216745968350,25957601
089470,HDC현대EP,4055,80,2.01,4010,4055,3975,25092,100899115,129354500000,31900000
294870,HDC현대산업개발,19790,340,1.75,19550,19860,19460,159258,3139138230,1304306060700,65907330
009540,HD한국조선해양,428000,8000,1.9,425000,432500,421500,138981,59488023000,30290893648000,70773116
267250,HD현대,204000,1500,0.74,207500,208000,199550,155125,31483441800,16114589340000,78993085
267270,HD현대건설기계,96900,4200,4.53,95500,97600,92800,177922,17132977800,1681952699700,17357613
443060,HD현대마린솔루션,199800,12000,6.39,193400,199800,193000,279247,55026000700,8956876158000,44829210
071970,HD현대마린엔진,81500,1900,2.39,80200,81800,78800,141868,11494004250,2764601842500,33921495
010620,HD현대미포,223000,3500,1.59,223000,227500,218000,798792,178109931750,8907099227000,39942149
322000,HD현대에너지솔루션,51800,600,1.17,51600,52100,51000,62045,3195038600,580160000000,11200000
042670,HD현대인프라코어,14960,580,4.03,14880,15140,14400,1516461,22591782055,2825214520480,188851238
267260,HD현대일렉트릭,797000,17000,2.18,812000,813000,770000,102748,81070630500,28729566595000,36047135
329180,HD현대중공업,554000,6000,1.09,557000,567000,544000,984466,545991436000,49180306264000,88773116
097230,HJ중공업,20850,600,2.96,20250,21050,20000,885467,18325200775,1882657922400,90295344
014790,HL D&I,2580,35,1.38,2545,2600,2545,54029,138679192,97675190580,37858601
003580,HLB글로벌,2160,60,2.86,2140,2190,2110,159065,343870588,109433170800,50663505
204320,HL만도,42350,950,2.29,42200,42500,41050,369065,15446715500,1988634032000,46957120
060980,HL홀딩스,43250,-200,-0.46,43200,44450,43150,14288,620340175,398482880250,9213477
011200,HMM,19010,300,1.6,18890,19070,18830,891017,16873123520,17930953809700,943237970
035000,HS애드,8890,30,0.34,8780,9000,8780,4463,39535720,147284266010,16567409
002460,HS화성,11840,110,0.94,11730,11920,11610,21232,249233225,120176000000,10150000
487570,HS효성,65000,1500,2.36,64900,65000,63300,14040,901717750,242185255000,3725927
298050,HS효성첨단소재,200500,1600,0.8,203000,204000,199500,7559,1519336300,898229574000,4479948
003560,IHQ,10760,0,0,0,0,0,0,0,76220934800,7083730
015360,INVENI,62500,500,0.81,62600,62700,61800,3915,243895200,356250000000,5700000
175330,JB금융지주,23800,50,0.21,24200,24400,23550,447673,10692319325,4519253503800,189884601
234080,JW생명과학,15200,650,4.47,14560,15220,14540,221728,3290998785,240685220800,15834554
001060,JW중외제약,26200,1150,4.59,25100,26500,25100,152632,3961389325,610091366000,23285930
001067,JW중외제약2우B,60700,0,0,60000,60700,60000,43,2595100,12745361100,209973
001065,JW중외제약우,27850,400,1.46,27850,27850,27850,14,389900,9523335350,341951
096760,JW홀딩스,3670,120,3.38,3560,3720,3560,191752,702723294,271304537140,73924942
008970,KBI동양철관,1997,35,1.78,1963,2015,1963,594827,1185149674,159562111279,79900907
105560,KB금융,124700,3000,2.47,122800,125500,122100,983365,122176824650,47568324244100,381462103
415640,KB발해인프라,9740,40,0.41,9800,9800,9660,132782,1289609965,1193593637520,122545548
432320,KB스타리츠,3670,-80,-2.13,3730,3755,3665,100967,371335762,372190425950,101414285
002380,KCC,415000,7000,1.72,414000,421000,407500,21883,9063714250,3687885465000,8886471
344820,KCC글라스,26900,300,1.13,26600,27050,26600,39759,1067898350,429606772800,15970512
009070,KCTC,5210,160,3.17,5160,5270,5100,165499,858554290,156300000000,30000000
009440,KC그린홀딩스,756,0,0,0,0,0,0,0,17568790596,23239141
119650,KC코트렐,918,0,0,0,0,0,0,0,100782913662,109785309
092220,KEC,699,8,1.16,692,700,690,358721,249483749,140333435559,200763141
003620,KG모빌리티,3310,60,1.85,3270,3325,3255,262487,865760280,669860958720,202374912
016380,KG스틸,5370,130,2.48,5270,5370,5270,104135,554336200,537047776890,100008897
